NCESSCH,LEAID,year,grade,white,black,hispanic,asian,other,total
010039000073,0100390,1993,9,1,10,0,0,0,11
010039000073,0100390,1993,10,1,10,0,0,0,11
010039000073,0100390,1993,11,1,10,0,0,0,11
010039000073,0100390,1993,12,1,10,0,0,0,11
010039000073,0100390,1994,9,3,8,0,0,0,11
010039000073,0100390,1994,10,3,8,0,0,0,11
010039000073,0100390,1994,11,3,8,0,0,0,11
010039000073,0100390,1994,12,3,8,0,0,0,11
010039000073,0100390,1995,9,1,6,0,0,0,7
010039000073,0100390,1995,10,1,6,0,0,0,7
010039000073,0100390,1995,11,1,6,0,0,0,7
010039000073,0100390,1995,12,1,6,0,0,0,7
010039000073,0100390,1996,9,1,6,0,0,0,7
010039000073,0100390,1996,10,1,6,0,0,0,7
010039000073,0100390,1996,11,1,6,0,0,0,7
010039000073,0100390,1996,12,1,6,0,0,0,7
010039000073,0100390,1997,9,1,7,0,0,0,8
010039000073,0100390,1997,10,1,7,0,0,0,8
010039000073,0100390,1997,11,1,7,0,0,0,8
010039000073,0100390,1997,12,1,7,0,0,0,8
010039000073,0100390,1998,9,1,6,0,0,0,7
010039000073,0100390,1998,10,1,6,0,0,0,7
010039000073,0100390,1998,11,1,6,0,0,0,7
010039000073,0100390,1998,12,1,6,0,0,0,7
010039000080,0100390,1993,9,14,9,0,0,1,24
010039000080,0100390,1993,10,14,9,0,0,1,24
010039000080,0100390,1993,11,14,9,0,0,1,24
010039000080,0100390,1993,12,14,9,0,0,1,24
010039000080,0100390,1994,9,4,3,0,0,0,7
010039000080,0100390,1994,10,4,3,0,0,0,7
010039000080,0100390,1994,11,4,3,0,0,0,7
010039000080,0100390,1994,12,4,3,0,0,0,7
010039000080,0100390,1995,9,7,18,0,0,0,25
010039000080,0100390,1995,10,7,18,0,0,0,25
010039000080,0100390,1995,11,7,18,0,0,0,25
010039000080,0100390,1995,12,7,18,0,0,0,25
010039000080,0100390,1996,9,NA,NA,NA,NA,NA,NA
010039000080,0100390,1996,10,NA,NA,NA,NA,NA,NA
010039000080,0100390,1996,11,NA,NA,NA,NA,NA,NA
010039000080,0100390,1996,12,NA,NA,NA,NA,NA,NA
010039000080,0100390,1997,9,NA,NA,NA,NA,NA,NA
010039000080,0100390,1997,10,NA,NA,NA,NA,NA,NA
010039000080,0100390,1997,11,NA,NA,NA,NA,NA,NA
010039000080,0100390,1997,12,NA,NA,NA,NA,NA,NA
010039000080,0100390,1998,9,NA,NA,NA,NA,NA,NA
010039000080,0100390,1998,10,NA,NA,NA,NA,NA,NA
010039000080,0100390,1998,11,NA,NA,NA,NA,NA,NA
010039000080,0100390,1998,12,NA,NA,NA,NA,NA,NA
010039000110,0100390,1993,9,1,518,0,0,0,519
010039000110,0100390,1993,10,1,518,0,0,0,519
010039000110,0100390,1993,11,1,518,0,0,0,519
010039000110,0100390,1993,12,1,518,0,0,0,519
010039000110,0100390,1994,9,0,501,0,0,0,501
010039000110,0100390,1994,10,0,501,0,0,0,501
010039000110,0100390,1994,11,0,501,0,0,0,501
010039000110,0100390,1994,12,0,501,0,0,0,501
010039000110,0100390,1995,9,0,427,0,0,0,427
010039000110,0100390,1995,10,0,427,0,0,0,427
010039000110,0100390,1995,11,0,427,0,0,0,427
010039000110,0100390,1995,12,0,427,0,0,0,427
010039000110,0100390,1996,9,0,407,0,0,0,407
010039000110,0100390,1996,10,0,407,0,0,0,407
010039000110,0100390,1996,11,0,407,0,0,0,407
010039000110,0100390,1996,12,0,407,0,0,0,407
010039000110,0100390,1997,9,0,396,0,0,0,396
010039000110,0100390,1997,10,0,396,0,0,0,396
010039000110,0100390,1997,11,0,396,0,0,0,396
010039000110,0100390,1997,12,0,396,0,0,0,396
010039000110,0100390,1998,9,0,373,0,0,0,373
010039000110,0100390,1998,10,0,373,0,0,0,373
010039000110,0100390,1998,11,0,373,0,0,0,373
010039000110,0100390,1998,12,0,373,0,0,0,373
010039000122,0100390,1993,9,15,1349,0,0,0,1364
010039000122,0100390,1993,10,15,1349,0,0,0,1364
010039000122,0100390,1993,11,15,1349,0,0,0,1364
010039000122,0100390,1993,12,15,1349,0,0,0,1364
010039000122,0100390,1994,9,10,1465,0,0,0,1475
010039000122,0100390,1994,10,10,1465,0,0,0,1475
010039000122,0100390,1994,11,10,1465,0,0,0,1475
010039000122,0100390,1994,12,10,1465,0,0,0,1475
010039000122,0100390,1995,9,4,1379,0,0,0,1383
010039000122,0100390,1995,10,4,1379,0,0,0,1383
010039000122,0100390,1995,11,4,1379,0,0,0,1383
010039000122,0100390,1995,12,4,1379,0,0,0,1383
010039000122,0100390,1996,9,7,1422,0,0,0,1429
010039000122,0100390,1996,10,7,1422,0,0,0,1429
010039000122,0100390,1996,11,7,1422,0,0,0,1429
010039000122,0100390,1996,12,7,1422,0,0,0,1429
010039000122,0100390,1997,9,8,1448,1,0,2,1459
010039000122,0100390,1997,10,8,1448,1,0,2,1459
010039000122,0100390,1997,11,8,1448,1,0,2,1459
010039000122,0100390,1997,12,8,1448,1,0,2,1459
010039000122,0100390,1998,9,5,1426,0,0,2,1433
010039000122,0100390,1998,10,5,1426,0,0,2,1433
010039000122,0100390,1998,11,5,1426,0,0,2,1433
010039000122,0100390,1998,12,5,1426,0,0,2,1433
010039000138,0100390,1993,9,NA,NA,NA,NA,NA,NA
010039000138,0100390,1993,10,NA,NA,NA,NA,NA,NA
010039000138,0100390,1993,11,NA,NA,NA,NA,NA,NA
010039000138,0100390,1993,12,NA,NA,NA,NA,NA,NA
010039000138,0100390,1994,9,0,49,0,0,0,49
010039000138,0100390,1994,10,0,49,0,0,0,49
010039000138,0100390,1994,11,0,49,0,0,0,49
010039000138,0100390,1994,12,0,49,0,0,0,49
010039000138,0100390,1995,9,1,70,0,0,0,71
010039000138,0100390,1995,10,1,70,0,0,0,71
010039000138,0100390,1995,11,1,70,0,0,0,71
010039000138,0100390,1995,12,1,70,0,0,0,71
010039000138,0100390,1996,9,0,51,0,0,0,51
010039000138,0100390,1996,10,0,51,0,0,0,51
010039000138,0100390,1996,11,0,51,0,0,0,51
010039000138,0100390,1996,12,0,51,0,0,0,51
010039000138,0100390,1997,9,0,47,0,0,0,47
010039000138,0100390,1997,10,0,47,0,0,0,47
010039000138,0100390,1997,11,0,47,0,0,0,47
010039000138,0100390,1997,12,0,47,0,0,0,47
010039000138,0100390,1998,9,0,46,0,0,0,46
010039000138,0100390,1998,10,0,46,0,0,0,46
010039000138,0100390,1998,11,0,46,0,0,0,46
010039000138,0100390,1998,12,0,46,0,0,0,46
010039000141,0100390,1993,9,711,655,5,17,0,1388
010039000141,0100390,1993,10,711,655,5,17,0,1388
010039000141,0100390,1993,11,711,655,5,17,0,1388
010039000141,0100390,1993,12,711,655,5,17,0,1388
010039000141,0100390,1994,9,713,732,1,16,0,1462
010039000141,0100390,1994,10,713,732,1,16,0,1462
010039000141,0100390,1994,11,713,732,1,16,0,1462
010039000141,0100390,1994,12,713,732,1,16,0,1462
010039000141,0100390,1995,9,561,783,2,16,0,1362
010039000141,0100390,1995,10,561,783,2,16,0,1362
010039000141,0100390,1995,11,561,783,2,16,0,1362
010039000141,0100390,1995,12,561,783,2,16,0,1362
010039000141,0100390,1996,9,439,985,4,8,0,1436
010039000141,0100390,1996,10,439,985,4,8,0,1436
010039000141,0100390,1996,11,439,985,4,8,0,1436
010039000141,0100390,1996,12,439,985,4,8,0,1436
010039000141,0100390,1997,9,274,1107,4,4,0,1389
010039000141,0100390,1997,10,274,1107,4,4,0,1389
010039000141,0100390,1997,11,274,1107,4,4,0,1389
010039000141,0100390,1997,12,274,1107,4,4,0,1389
010039000141,0100390,1998,9,158,1230,2,8,0,1398
010039000141,0100390,1998,10,158,1230,2,8,0,1398
010039000141,0100390,1998,11,158,1230,2,8,0,1398
010039000141,0100390,1998,12,158,1230,2,8,0,1398
010039000164,0100390,1993,9,0,873,0,0,0,873
010039000164,0100390,1993,10,0,873,0,0,0,873
010039000164,0100390,1993,11,0,873,0,0,0,873
010039000164,0100390,1993,12,0,873,0,0,0,873
010039000164,0100390,1994,9,0,918,0,0,0,918
010039000164,0100390,1994,10,0,918,0,0,0,918
010039000164,0100390,1994,11,0,918,0,0,0,918
010039000164,0100390,1994,12,0,918,0,0,0,918
010039000164,0100390,1995,9,0,878,0,0,0,878
010039000164,0100390,1995,10,0,878,0,0,0,878
010039000164,0100390,1995,11,0,878,0,0,0,878
010039000164,0100390,1995,12,0,878,0,0,0,878
010039000164,0100390,1996,9,1,882,0,0,0,883
010039000164,0100390,1996,10,1,882,0,0,0,883
010039000164,0100390,1996,11,1,882,0,0,0,883
010039000164,0100390,1996,12,1,882,0,0,0,883
010039000164,0100390,1997,9,1,887,0,0,0,888
010039000164,0100390,1997,10,1,887,0,0,0,888
010039000164,0100390,1997,11,1,887,0,0,0,888
010039000164,0100390,1997,12,1,887,0,0,0,888
010039000164,0100390,1998,9,0,885,0,0,0,885
010039000164,0100390,1998,10,0,885,0,0,0,885
010039000164,0100390,1998,11,0,885,0,0,0,885
010039000164,0100390,1998,12,0,885,0,0,0,885
010039000165,0100390,1993,9,0,1095,0,0,0,1095
010039000165,0100390,1993,10,0,1095,0,0,0,1095
010039000165,0100390,1993,11,0,1095,0,0,0,1095
010039000165,0100390,1993,12,0,1095,0,0,0,1095
010039000165,0100390,1994,9,0,1078,0,0,0,1078
010039000165,0100390,1994,10,0,1078,0,0,0,1078
010039000165,0100390,1994,11,0,1078,0,0,0,1078
010039000165,0100390,1994,12,0,1078,0,0,0,1078
010039000165,0100390,1995,9,0,1010,0,0,0,1010
010039000165,0100390,1995,10,0,1010,0,0,0,1010
