"LEAID","NCESSCH","TYPE01","STATUS01","FTE01","LEVEL01","FRELCH01","REDLCH01","TOTFRL01","MIGRNT01","MEMBER01","G0901","G1001","G1101","G1201","ASIAN01","HISP01","BLACK01","WHITE01","TOTETH01","PUPTCH01","LOCALE","AM09","AS09","HI09","BL09","WH09","AM10","AS10","HI10","BL10","WH10","AM11","AS11","HI11","BL11","WH11","AM12","AS12","HI12","BL12","WH12"
"0100390","010039000073","1","1",NA,"3",2,1,3,NA,6,0,0,2,4,0,0,6,0,6,NA,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0
"0100390","010039000122","1","1",78,"3",649,61,710,NA,1088,372,250,198,265,0,0,1086,2,1088,13.9,"1",0,0,0,372,0,0,0,0,249,1,0,0,0,198,0,0,0,0,264,1
"0100390","010039000138","4","1",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039000141","1","1",76,"3",681,156,837,NA,1650,710,317,341,282,12,5,1587,46,1650,21.7,"1",0,3,1,690,16,0,3,1,307,6,0,2,2,324,13,0,4,1,266,11
"0100390","010039000164","1","1",53,"3",354,49,403,NA,703,188,176,171,168,0,0,703,0,703,13.3,"1",0,0,0,188,0,0,0,0,176,0,0,0,0,171,0,0,0,0,168,0
"0100390","010039000165","1","1",65,"3",624,72,696,NA,1117,351,277,234,255,0,0,1117,0,1117,17.2,"1",0,0,0,351,0,0,0,0,277,0,0,0,0,234,0,0,0,0,255,0
"0100390","010039000176","1","1",39,"3",163,70,233,NA,687,185,183,157,162,12,27,622,26,687,17.6,"1",0,4,15,159,7,0,5,7,164,7,0,1,1,148,7,0,2,4,151,5
"0100390","010039000192","1","1",50,"3",489,40,529,NA,1158,280,307,277,294,0,0,1156,2,1158,23.2,"1",0,0,0,279,1,0,0,0,307,0,0,0,0,276,1,0,0,0,294,0
"0100390","010039000194","1","1",56,"3",617,73,690,NA,964,354,196,222,192,0,0,963,1,964,17.2,"1",0,0,0,353,1,0,0,0,196,0,0,0,0,222,0,0,0,0,192,0
"0100390","010039000198","1","1",79,"3",861,71,932,NA,1449,486,370,316,277,0,3,1437,9,1449,18.3,"1",0,0,3,482,1,0,0,0,367,3,0,0,0,312,4,0,0,0,276,1
"0100390","010039001281","4","1",NA,"3",31,7,38,NA,41,0,3,22,16,0,0,38,3,41,NA,"1",0,0,0,0,0,0,0,0,2,1,0,0,0,20,2,0,0,0,16,0
"0100390","010039001288","4","1",10,"3",69,2,71,NA,79,39,20,12,8,0,0,78,1,79,7.9,"1",0,0,0,38,1,0,0,0,20,0,0,0,0,12,0,0,0,0,8,0
"0100390","010039001296","2","1",NA,"4",NA,NA,NA,NA,2,0,1,1,0,0,0,2,0,2,NA,"1",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"0100390","010039001316","3","1",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039001468","1","1",62,"3",744,69,813,NA,1236,409,343,250,234,0,0,1235,1,1236,19.9,"1",0,0,0,408,1,0,0,0,343,0,0,0,0,250,0,0,0,0,234,0
"0100390","010039001643","1","1",11,"3",7,8,15,NA,346,83,64,60,63,32,2,73,239,346,31.5,"1",0,9,0,17,57,0,4,2,10,48,0,8,0,13,39,0,4,0,19,40
"0100390","010039001746","4","1",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039001761","4","1",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039001765","2","1",NA,"3",0,0,0,NA,18,1,4,7,6,0,0,16,2,18,NA,"1",0,0,0,1,0,0,0,0,4,0,0,0,0,7,0,0,0,0,4,2
"0102370","010237000898","1","1",46.5,"3",497,59,556,NA,710,205,187,170,148,7,2,575,125,709,15.3,"2",0,2,0,166,36,0,0,0,154,33,0,3,2,135,30,0,2,0,120,26
"0102370","010237000899","1","1",79,"3",160,18,178,NA,1375,438,323,331,283,20,14,228,1109,1374,17.4,"4",2,6,7,79,344,0,3,3,60,257,1,6,2,39,282,0,5,2,50,226
"0102370","010237000900","1","1",42,"3",544,51,595,NA,722,225,179,153,165,0,0,722,0,722,17.2,"4",0,0,0,225,0,0,0,0,179,0,0,0,0,153,0,0,0,0,165,0
"0102370","010237000906","1","1",44.5,"3",343,74,417,NA,702,256,156,133,157,2,0,195,442,702,15.8,"4",26,0,0,77,153,9,0,0,45,102,12,2,0,33,86,16,0,0,40,101
"0102370","010237000912","1","1",80,"3",447,59,506,NA,1417,421,371,321,304,81,30,692,612,1416,17.7,"2",1,18,13,248,141,0,20,8,168,175,0,16,5,146,153,0,27,4,130,143
