"NCESSCH","LEAID","TYPE07","STATUS07","ULOCAL07","FTE07","LEVEL07","FRELCH07","REDLCH07","TOTFRL07","MEMBER07","G0907","G1007","G1107","G1207","AM09","AS09","HI09","BL09","WH09","AM10","AS10","HI10","BL10","WH10","AM11","AS11","HI11","BL11","WH11","AM12","AS12","HI12","BL12","WH12","ASIAN","HISP","BLACK","WHITE"
"010039000073","0100390","3","1","12",NA,"3",0,0,0,1,NA,NA,NA,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,1,0,-12,-12,-11,-12
"010039000134","0100390","1","1","12",48.5,"3",554,46,600,702,239,179,138,146,0,2,8,227,2,0,2,5,170,2,0,1,3,133,1,0,2,5,136,3,7,21,666,8
"010039000138","0100390","4","1","12",0,"3",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010039000141","0100390","1","1","12",86.3,"3",655,112,767,1371,504,314,271,282,0,0,7,490,7,0,0,0,307,7,0,0,1,266,4,0,3,0,275,4,3,8,1338,22
"010039000164","0100390","1","1","21",90.5,"3",877,104,981,1392,491,397,246,254,0,1,2,487,1,0,0,0,395,2,0,0,0,245,1,0,0,2,252,0,1,4,1379,4
"010039000165","0100390","1","1","12",59.5,"3",510,45,555,876,306,223,165,182,0,0,0,305,1,0,0,1,221,1,0,0,2,163,0,0,0,0,182,0,0,3,871,2
"010039000176","0100390","1","1","12",41,"3",180,84,264,569,162,124,144,139,0,0,1,159,2,0,0,1,121,2,0,0,0,142,2,0,0,0,138,1,0,2,560,7
"010039000192","0100390","1","1","12",51.3,"3",607,66,673,863,275,221,190,177,1,0,0,272,2,0,0,0,221,0,0,0,0,189,1,0,0,0,177,0,0,0,859,3
"010039000194","0100390","1","1","12",42.5,"3",507,60,567,653,253,162,117,121,1,0,0,252,0,0,0,0,162,0,0,0,0,117,0,0,0,0,121,0,0,0,652,0
"010039000198","0100390","1","1","12",48.4,"3",564,58,622,713,195,208,165,145,0,0,0,194,1,0,0,0,204,4,0,1,0,164,0,0,0,0,144,1,1,0,706,6
"010039001281","0100390","4","1","12",NA,"3",9,0,9,14,1,0,7,6,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,14,0
"010039001288","0100390","4","1","12",19,"4",NA,NA,NA,132,40,18,15,8,0,0,0,39,1,0,0,0,18,0,0,0,0,15,0,0,0,0,8,0,0,0,80,1
"010039001296","0100390","2","1","12",NA,"4",0,0,0,3,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"010039001316","0100390","3","1","12",0,"3",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010039001468","0100390","1","1","12",64,"3",683,79,762,979,325,263,176,215,0,0,15,310,0,0,0,7,254,2,0,0,3,172,1,0,1,0,213,1,1,25,949,4
"010039001629","0100390","2","1","12",0,"3",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010039001746","0100390","4","1","12",0,"3",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010039001761","0100390","4","1","12",0,"3",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010039001765","0100390","2","1","12",NA,"3",1,0,1,4,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0
"010039001866","0100390","4","1","12",18,"4",93,0,93,113,39,12,12,5,0,0,0,39,0,0,0,0,12,0,0,0,0,12,0,0,0,0,5,0,0,0,68,0
"010237000898","0102370","1","1","12",36,"3",396,37,433,548,193,125,154,76,0,0,0,182,11,0,1,0,122,2,0,1,0,145,8,0,0,0,72,4,2,0,521,25
"010237000899","0102370","1","1","21",109.2,"3",368,105,473,1915,669,420,458,368,2,14,13,172,468,2,9,9,94,306,2,8,11,95,342,0,5,6,80,277,36,39,441,1393
"010237000900","0102370","1","1","21",91.8,"3",1076,109,1185,1528,552,339,363,274,1,5,0,531,15,1,2,0,329,7,0,1,0,358,4,0,0,1,271,2,8,1,1489,28
"010237000906","0102370","1","1","42",48,"3",400,78,478,767,264,172,177,154,43,0,0,72,149,29,0,1,43,99,39,0,0,44,94,35,1,0,34,84,1,1,193,426
"010237000912","0102370","1","1","12",88.5,"3",688,76,764,1546,582,337,337,290,0,29,23,406,124,0,22,15,210,90,0,17,18,201,101,1,19,7,156,107,87,63,973,422
"010237000929","0102370","1","1","12",5.5,"3",8,1,9,14,NA,NA,1,13,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,1,0,0,0,0,12,1,-8,-8,5,-7
