"NCESSCH","LEAID","TYPE09","STATUS09","ULOCAL09","FTE09","LEVEL09","FRELCH09","REDLCH09","TOTFRL09","MEMBER09","G0909","G1009","G1109","G1209","AM09","AS09","HI09","BL09","WH09","HP09","TR09","AM10","AS10","HI10","BL10","WH10","HP10","TR10","AM11","AS11","HI11","BL11","WH11","HP11","TR11","AM12","AS12","HI12","BL12","WH12","HP12","TR12","ASIAN","HISP","BLACK","WHITE"
"010039000073","0100390","3","1","12",0,"3",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0
"010039000138","0100390","4","1","12",0,"3",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0
"010039000141","0100390","1","1","12",72.4,"3",774,115,889,1230,427,262,270,271,0,1,13,408,5,-4,-4,0,0,6,254,2,-4,-4,0,0,3,264,3,-4,-4,0,0,1,266,4,-4,-4,1,23,1192,14
"010039000164","0100390","1","1","12",82,"3",1105,93,1198,1433,504,363,250,315,0,0,4,497,3,-4,-4,0,0,4,357,2,-4,-4,0,0,1,248,1,-4,-4,0,0,1,312,2,-4,-4,0,10,1414,8
"010039000165","0100390","1","1","12",57,"3",681,71,752,898,293,192,195,218,0,0,2,291,0,-4,-4,0,0,0,191,1,-4,-4,0,0,0,195,0,-4,-4,0,0,1,217,0,-4,-4,0,3,894,1
"010039000176","0100390","1","1","12",39.5,"3",330,101,431,726,230,215,158,123,0,1,3,223,3,-4,-4,0,0,1,212,2,-4,-4,0,0,0,157,1,-4,-4,0,0,1,121,1,-4,-4,1,5,713,7
"010039000192","0100390","1","1","12",63,"3",761,64,825,1016,296,296,203,221,0,0,0,296,0,-4,-4,0,0,0,296,0,-4,-4,0,0,0,202,1,-4,-4,0,0,0,221,0,-4,-4,0,0,1015,1
"010039000194","0100390","1","1","12",0,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,-4,NA,NA,NA,NA,NA,-4,-4,NA,NA,NA,NA,NA,-4,-4,NA,NA,NA,NA,NA,-4,-4,-8,-8,-8,-8
"010039000198","0100390","1","1","12",56.1,"3",968,53,1021,1183,504,261,204,214,0,0,17,480,7,-4,-4,0,1,5,253,2,-4,-4,0,0,5,195,4,-4,-4,0,1,4,208,1,-4,-4,2,31,1136,14
"010039001281","0100390","4","1","12",NA,"3",7,0,7,12,4,7,1,0,0,0,0,4,0,-4,-4,0,0,0,7,0,-4,-4,0,0,0,1,0,-4,-4,0,0,0,0,0,-4,-4,0,0,12,0
"010039001288","0100390","4","1","12",0,"4",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0
"010039001296","0100390","2","1","12",NA,"4",0,0,0,2,0,1,1,0,0,0,0,0,0,-4,-4,0,0,0,1,0,-4,-4,0,0,0,1,0,-4,-4,0,0,0,0,0,-4,-4,0,0,2,0
"010039001316","0100390","3","1","12",0,"3",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0
"010039001468","0100390","1","1","12",64,"3",951,83,1034,1166,381,326,226,233,0,3,19,355,4,-4,-4,0,0,18,307,1,-4,-4,0,1,9,214,2,-4,-4,0,1,5,224,3,-4,-4,5,51,1100,10
"010039001629","0100390","2","1","12",0,"3",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0
"010039001746","0100390","4","1","12",0,"3",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0
"010039001761","0100390","4","1","12",0,"3",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0
"010039001765","0100390","2","1","12",NA,"3",3,1,4,7,0,2,5,0,0,0,0,0,0,-4,-4,0,0,0,2,0,-4,-4,0,0,0,4,1,-4,-4,0,0,0,0,0,-4,-4,0,0,6,1
"010039001866","0100390","4","1","12",0,"4",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0
"010237000898","0102370","1","1","12",33.5,"3",488,33,521,611,217,177,91,126,0,1,3,200,13,-4,-4,0,2,0,169,6,-4,-4,0,0,0,88,2,-4,-4,0,1,1,121,3,-4,-4,4,4,578,24
"010237000899","0102370","1","1","21",115,"3",623,106,729,2123,632,592,490,408,0,18,20,183,406,-4,-4,2,19,14,143,409,-4,-4,1,8,13,132,332,-4,-4,1,10,9,88,298,-4,-4,55,56,546,1445
"010237000900","0102370","1","1","21",75.25,"3",993,85,1078,1317,441,367,248,261,1,1,2,432,5,-4,-4,0,0,3,361,3,-4,-4,0,2,0,243,3,-4,-4,1,0,1,257,2,-4,-4,3,6,1293,13
"010237000906","0102370","1","1","42",44.2,"3",431,59,490,783,238,209,181,155,47,1,2,56,132,-4,-4,33,0,2,59,115,-4,-4,25,1,1,50,103,-4,-4,29,0,1,32,93,-4,-4,2,6,197,443
"010237000912","0102370","1","1","12",90.06,"3",750,99,849,1563,599,390,316,258,1,26,16,430,120,-4,-4,0,33,15,226,113,-4,-4,0,20,13,196,85,-4,-4,0,19,10,153,76,-4,-4,98,54,1005,394
"010237000929","0102370","1","1","12",0,"3",NA,NA,NA,0,NA,NA,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,-8,-8,-8,-8
"010237000934","0102370","1","1","41",99,"3",729,173,902,1815,590,511,377,337,5,3,9,72,499,-4,-4,1,4,7,77,422,-4,-4,0,0,6,49,321,-4,-4,2,0,4,49,282,-4,-4,7,26,247,1524
"010237000942","0102370","1","1","12",123,"3",1180,114,1294,2510,800,637,537,536,0,25,8,550,215,-4,-4,1,15,5,420,195,-4,-4,1,22,5,292,213,-4,-4,0,18,4,317,197,-4,-4,80,22,1579,820
"010237000953","0102370","1","1","21",62,"3",375,75,450,1042,245,217,309,271,3,2,2,52,186,-4,-4,2,1,2,37,174,-4,-4,4,2,2,64,235,-4,-4,1,0,3,50,217,-4,-4,5,9,203,812
"010237000962","0102370","1","1","12",49,"3",622,53,675,947,288,261,225,173,1,0,0,283,4,-4,-4,0,1,0,257,3,-4,-4,0,0,0,225,0,-4,-4,0,0,0,172,1,-4,-4,1,0,937,8
"010237000964","0102370","1","1","21",48.75,"3",739,25,764,908,307,271,163,167,0,0,0,305,2,-4,-4,0,0,0,269,2,-4,-4,0,0,0,160,3,-4,-4,0,0,0,167,0,-4,-4,0,0,901,7
"010237000969","0102370","1","1","12",58.8,"3",917,42,959,1111,352,321,221,217,0,0,1,345,6,-4,-4,0,2,1,316,2,-4,-4,0,1,0,218,1,-4,-4,0,1,0,216,0,-4,-4,4,2,1095,9
"010237000989","0102370","1","1","41",89,"3",769,117,886,1689,557,439,358,335,0,35,9,49,460,-4,-4,0,37,6,51,345,-4,-4,3,26,5,47,269,-4,-4,1,31,6,45,252,-4,-4,129,26,192,1326
"010237000999","0102370","4","1","12",NA,"4",10,1,11,14,5,2,0,1,0,0,0,1,4,-4,-4,0,0,0,0,2,-4,-4,0,0,0,0,0,-4,-4,0,0,0,1,0,-4,-4,0,0,2,6
"010237001000","0102370","4","1","12",0,"4",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0
"010237001038","0102370","4","1","12",0,"4",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0
"010237001040","0102370","4","1","12",NA,"4",44,3,47,58,36,11,5,6,0,1,0,32,3,-4,-4,0,0,0,10,1,-4,-4,0,0,0,5,0,-4,-4,0,0,0,5,1,-4,-4,1,0,52,5
"010237001083","0102370","3","1","21",12,"3",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0
"010237001086","0102370","3","1","41",13,"3",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0
"010237001586","0102370","4","1","41",0,"4",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0
"010237001596","0102370","3","1","12",NA,"3",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010237001600","0102370","2","1","21",0,"4",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0
"010237001605","0102370","2","1","12",NA,"4",38,1,39,52,8,5,1,1,0,0,0,4,4,-4,-4,0,0,0,2,3,-4,-4,0,0,0,0,1,-4,-4,0,0,0,0,1,-4,-4,0,0,6,9
"010237001618","0102370","2","1","12",47,"4",137,12,149,230,22,18,19,79,0,0,0,16,6,-4,-4,0,2,0,11,5,-4,-4,0,0,0,14,5,-4,-4,0,0,0,47,32,-4,-4,2,0,88,48
"010237001625","0102370","2","1","12",0,"4",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0
"010237001626","0102370","3","1","12",0,"3",NA,NA,NA,0,NA,0,0,0,-4,-4,-4,-4,-4,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,-4,-4,-4,-4
"010237001686","0102370","4","1","12",14,"4",50,0,50,54,15,15,3,5,0,0,0,14,1,-4,-4,0,0,1,11,3,-4,-4,0,0,0,2,1,-4,-4,0,0,0,4,1,-4,-4,0,1,31,6
"010237001688","0102370","1","1","21",87.3,"3",791,148,939,1731,583,489,317,342,4,18,13,125,423,-4,-4,5,15,5,104,360,-4,-4,1,9,3,70,234,-4,-4,3,11,5,64,259,-4,-4,53,26,363,1276
"010237001689","0102370","2","1","12",NA,"4",28,5,33,57,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0,0,-4,-4,0,0,0,0
"010237002161","0102370","4","3","12",NA,"3",202,3,205,711,74,123,112,402,0,0,0,64,10,-4,-4,1,1,0,105,16,-4,-4,0,4,0,88,19,-4,-4,0,17,1,360,23,-4,-4,22,1,617,68
"061455001711","0614550","1","1","11",112.6,"3",677,190,867,2649,716,727,629,577,2,37,279,104,285,9,0,3,55,265,94,305,5,0,3,32,214,78,300,2,0,4,33,158,69,311,2,0,157,916,345,1201
"061455001720","0614550","4","1","11",19.2,"3",232,38,270,319,0,21,121,177,0,0,0,0,0,0,0,0,0,17,3,1,0,0,2,9,69,34,7,0,0,4,14,108,37,14,0,0,23,194,74,22
