"LEAID","NCESSCH","TR10","AM10","AS10","BL10","HI10","oth10","WH10","TR11","AM11","AS11","BL11","HI11","oth11","WH11","TR12","AM12","AS12","BL12","HI12","oth12","WH12","TR09","AM09","AS09","BL09","HI09","oth09","WH09","HP10","HP11","HP12","HP09","total_g10","total_g11","total_g12","total_g9","total_enroll","FRELCH","REDLCH","TOTFRL","lunch_total"
"0100390","010039000141",2,0,0,346,27,379,4,3,1,0,337,8,352,3,2,2,1,300,15,322,2,5,2,0,327,20,357,3,0,0,0,0,758,704,644,714,2820,777,0,780,780
"0100390","010039000141",2,0,0,346,27,379,4,3,1,0,337,8,352,3,2,2,1,300,15,322,2,5,2,0,327,20,357,3,0,0,0,0,758,704,644,714,2820,0,NA,780,780
"0100390","010039000164",0,1,0,199,3,203,0,1,1,0,213,1,217,1,0,1,0,186,6,193,0,2,1,0,269,1,277,4,0,0,0,0,406,434,386,554,1780,591,0,594,594
"0100390","010039000164",0,1,0,199,3,203,0,1,1,0,213,1,217,1,0,1,0,186,6,193,0,2,1,0,269,1,277,4,0,0,0,0,406,434,386,554,1780,0,NA,594,594
"0100390","010039000165",0,0,0,206,4,211,1,3,1,0,187,4,195,0,0,1,0,161,1,164,1,3,0,0,189,4,198,2,0,0,0,0,422,390,328,396,1536,494,0,497,497
"0100390","010039000165",0,0,0,206,4,211,1,3,1,0,187,4,195,0,0,1,0,161,1,164,1,3,0,0,189,4,198,2,0,0,0,0,422,390,328,396,1536,0,NA,497,497
"0100390","010039000176",4,1,0,158,1,168,4,0,0,0,197,0,199,2,2,1,0,223,2,230,2,2,0,0,195,4,202,1,0,0,0,0,336,398,460,404,1598,183,0,186,186
"0100390","010039000176",4,1,0,158,1,168,4,0,0,0,197,0,199,2,2,1,0,223,2,230,2,2,0,0,195,4,202,1,0,0,0,0,336,398,460,404,1598,0,NA,186,186
"0100390","010039000192",1,0,0,196,4,202,1,1,0,0,169,4,174,0,1,2,0,138,0,142,1,3,1,0,237,3,248,4,0,0,0,0,404,348,284,496,1532,466,0,469,469
"0100390","010039000192",1,0,0,196,4,202,1,1,0,0,169,4,174,0,1,2,0,138,0,142,1,3,1,0,237,3,248,4,0,0,0,0,404,348,284,496,1532,0,NA,469,469
"0100390","010039000198",0,1,0,198,7,211,5,2,3,0,159,5,170,1,1,4,0,182,7,196,2,2,0,0,210,15,229,2,0,0,0,0,422,340,392,458,1612,579,0,582,582
"0100390","010039000198",0,1,0,198,7,211,5,2,3,0,159,5,170,1,1,4,0,182,7,196,2,2,0,0,210,15,229,2,0,0,0,0,422,340,392,458,1612,0,NA,582,582
"0100390","010039001468",1,1,0,206,30,247,5,1,0,0,168,19,194,5,0,0,0,149,24,174,0,5,2,0,152,29,193,1,4,1,1,4,494,388,348,386,1616,503,0,506,506
"0100390","010039001468",1,1,0,206,30,247,5,1,0,0,168,19,194,5,0,0,0,149,24,174,0,5,2,0,152,29,193,1,4,1,1,4,494,388,348,386,1616,0,NA,506,506
"0100390","010039001761",0,0,0,5,0,6,1,0,0,0,1,0,2,0,0,0,0,2,0,2,0,0,0,0,6,0,6,0,0,1,0,0,12,4,4,12,32,16,0,16,16
"0100390","010039001761",0,0,0,5,0,6,1,0,0,0,1,0,2,0,0,0,0,2,0,2,0,0,0,0,6,0,6,0,0,1,0,0,12,4,4,12,32,0,0,16,16
"0102370","010237000898",1,0,0,220,5,236,10,1,0,0,204,6,218,7,1,0,0,162,6,174,5,2,0,0,243,4,255,5,0,0,0,1,472,436,348,510,1766,626,0,629,629
