"LEAID","NCESSCH","TYPE99","STATUS99","FTE99","FRELCH99","REDLCH99","TOTFRL99","MIGRNT99","MEMBER99","G0999","G1099","G1199","G1299","ASIAN99","HISP99","BLACK99","WHITE99","TOTETH99","PUPTCH99","LOCALE","AM09","AS09","HI09","BL09","WH09","AM10","AS10","HI10","BL10","WH10","AM11","AS11","HI11","BL11","WH11","AM12","AS12","HI12","BL12","WH12"
"0100390","010039000073","1","1",0,NA,NA,NA,0,3,0,0,2,1,0,0,2,1,3,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
"0100390","010039000109","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039000122","1","1",85,261,44,305,0,1240,379,335,225,301,0,0,1238,2,1240,14.6,"1",0,0,0,379,0,0,0,0,335,0,0,0,0,223,2,0,0,0,301,0
"0100390","010039000138","4","1",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039000141","1","1",81,536,84,620,0,1375,531,346,257,241,6,4,1297,68,1375,17,"1",0,0,3,506,22,0,3,0,324,19,0,0,1,244,12,0,3,0,223,15
"0100390","010039000153","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039000154","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039000164","1","1",60,224,30,254,0,830,269,210,185,166,0,0,830,0,830,13.8,"1",0,0,0,269,0,0,0,0,210,0,0,0,0,185,0,0,0,0,166,0
"0100390","010039000165","1","1",66,257,21,278,0,1208,394,326,270,218,0,1,1205,2,1208,18.3,"1",0,0,1,392,1,0,0,0,325,1,0,0,0,270,0,0,0,0,218,0
"0100390","010039000168","1","1",67,857,11,868,0,1082,344,332,261,145,0,0,1080,2,1082,16.1,"1",0,0,0,344,0,0,0,0,332,0,0,0,0,259,2,0,0,0,145,0
"0100390","010039000176","1","1",43,86,33,119,0,648,157,172,145,174,20,11,560,56,648,15.1,"1",0,3,4,140,10,0,4,5,154,9,0,8,1,126,10,1,5,1,140,27
"0100390","010039000192","1","1",56,469,46,515,0,1117,291,300,252,274,0,0,1117,0,1117,19.9,"1",0,0,0,291,0,0,0,0,300,0,0,0,0,252,0,0,0,0,274,0
"0100390","010039000194","1","1",65,366,50,416,0,1089,395,308,232,154,0,0,1088,1,1089,16.8,"1",0,0,0,394,1,0,0,0,308,0,0,0,0,232,0,0,0,0,154,0
"0100390","010039000198","1","1",84,518,32,550,0,1273,442,354,239,238,0,1,1262,10,1273,15.2,"1",0,0,0,438,4,0,0,0,351,3,0,0,1,236,2,0,0,0,237,1
"0100390","010039000235","2","1",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100390","010039001281","4","1",0,24,1,25,0,41,21,15,2,3,0,0,39,2,41,0,"1",0,0,0,19,2,0,0,0,15,0,0,0,0,2,0,0,0,0,3,0
"0100390","010039001288","4","1",0,12,0,12,0,46,22,15,5,4,0,0,46,0,46,0,"1",0,0,0,22,0,0,0,0,15,0,0,0,0,5,0,0,0,0,4,0
