      Common Core of Data Public Education Agency Universe 1992-93
                            (LRECL=1030)
            
	     (*) Fields have one implied decimal place.

	     (+) Fields represent sub-fields of the fields immediately 
	      preceding them.  
          
**Please Note: "FIPS" stands for Federal Information Processing Standard (see State Codes
  and Abbreviations in the General Documentation) 
                                    
The file contains  data for school year 1992-93 sorted by the NCES assigned local
education agency identification code (LEAID).

Name    Type   Position       Size          Description

LEAID     AN   001-007          7            7-DIGIT ID CODE (2-FIPS, 5-AGENCY)
  +FIPS   AN   001-002		2            FIPS STATE CODE FOR LOCATION OF AGENCY
STID92    AN   008-021         14            STATE AGENCY ID
NAME92    AN   022-051         30            NAME OF LOCAL EDUCATION AGENCY
STREET92  AN   052-081         30            MAILING ADDRESS
CITY92    AN   082-099         18            CITY NAME (MAILING ADDRESS)
ST92      AN   100-101          2            USPS STATE ABBREVIATION 
ZIP92     AN   102-106          5            5-DIGIT ZIP CODE
ZIP492    AN   107-110          4            ZIP+4 IF ASSIGNED
PHONE92   AN   111-120         10            TELEPHONE NUMBER OF AGENCY
TYPE92    AN   121-121          1            TYPE OF AGENCY CODE
UNION92   AN   122-124          3            SUPERVISORY UNION NUMBER
CONUM92   AN   125-129          5            FIPS COUNTY NUMBER (FIPS+COUNTY)
CONAME92  AN   130-154         25            COUNTY NAME
CMSA92    AN   155-160          6            CMSA/PMSA/MSA CODE
MSC92     AN   161-161          1            METRO STATUS CODE
BOUND92   AN   162-162          1            BOUNDARY CHANGE INDICATOR FLAG
GRSPAN97  AN   163-166	  	  4	         GRADE SPAN OF AGENCY (SCHOOL UNIV)
+GSL092   AN   163-164          2            LOW GRADE SPAN (SCHOOL UNIV)
+GSHI92   AN   165-166          2            HIGH GRADE SPAN (SCHOOL UNIV)
SCH92      N   167-171          5            NUMBER OF SCHOOLS (SCHOOL UNIV)
TEACH92    N   172-178         *7            TOTAL CLASSROOM TEACHERS (SCHOOL UNIV FTE)
UG92       N   179-184          6            COUNT OF UNGRADED STUDENTS
PK1292     N   185-190          6            COUNT OF PK THRU 12 STUDENTS
MEMBER92   N   191-197          7            TOTAL STUDENTS 
SPECED92   N   198-203          6            COUNT OF SPECIAL ED IEP STUDENTS
REGDIP92   N   204-209          6            COUNT OF REGULAR DIPLOMA GRADUATES
OTHDIP92   N   210-215          6            COUNT OF OTHER DIPLOMA GRADUATES
OTHCOM92   N   216-221          6            COUNT OF OTHER HS COMPLETERS
DAM7M92    N   222-226          5            DROPOUTS (AMER IND/ALAS NAT-7TH-MALE)
DAM7F92    N   227-231          5            DROPOUTS (AMER IND/ALAS NAT-7TH-FEMALE)
DAM7U92    N   232-236          5            DROPOUTS (AMER IND/ALAS NAT-7TH-UNKNOWN)
DAS7M92    N   237-241          5            DROPOUTS (ASIAN/PAC ISL-7TH-MALE)
DAS7F92    N   242-246          5            DROPOUTS (ASIAN/PAC ISL-7TH-FEMALE)
DAS7U92    N   247-251          5            DROPOUTS (ASIAN/PAC ISL-7TH-UNKNOWN)
DHI7M92    N   252-256          5            DROPOUTS (HISPANIC-7TH-MALE)
DHI7F92    N   257-261          5            DROPOUTS (HISPANIC-7TH-FEMALE)
DHI7U92    N   262-266          5            DROPOUTS (HISPANIC-7TH-UNKNOWN)    
BL7M92     N   267-271          5            DROPOUTS (BLACK-7TH-MALE)
DBL7F92    N   272-276          5            DROPOUTS (BLACK-7TH-FEMALE)
DBL7U92    N   277-281          5            DROPOUTS (BLACK-7TH-UNKNOWN)
DWH7M92    N   282-286          5            DROPOUTS (WHITE-7TH-MALE)
DWH7F92    N   287-291          5            DROPOUTS (WHITE-7TH-FEMALE)
DWH7U92    N   292-296          5            DROPOUTS (WHITE-7TH-UNKNOWN)
DUK7M92    N   297-301          5            DROPOUTS (UNKNOWN-7TH-MALE)
DUK7F92    N   302-306          5            DROPOUTS (UNKNOWN-7TH-FEMALE)
DUK7U92    N   307-311          5            DROPOUTS (UNKNOWN-7TH-UNKNOWN)
DAM8M92    N   312-316          5            DROPOUTS (AMER IND/ALAS NAT-8TH-MALE)
DAM8F92    N   317-321          5            DROPOUTS (AMER IND/ALAS NAT-8TH-FEMALE)
DAM8U92    N   322-326          5            DROPOUTS (AMER IND/ALAS NAT-8TH-UNKNOWN)
DAS8M92    N   327-331          5            DROPOUTS (ASIAN/PAC ISL-8TH-MALE)
DAS8F92    N   332-336          5            DROPOUTS (ASIAN/PAC ISL-8TH-FEMALE)
DAS8U92    N   337-341          5            DROPOUTS (ASIAN/PAC ISL-8TH-UNKNOWN)
DHI8M92    N   342-346          5            DROPOUTS (HISPANIC-8TH-MALE) 
