        Common Core of Data Public Education Agency Universe 1997-98
                                (LRECL=1030)

             (*) Fields have one implied decimal place.

	     (+) Fields represent sub-fields of the fields immediately 
	      preceding them.  (These sub-fields may not be present 
	      as fields in the SAS data files.)
                                    
**Please Note: "FIPS" stands for Federal Information Processing Standard (see State Codes
  and Abbreviations in the General Documentation)

The file contains data for school year 1997-98 sorted by the NCES assigned local
education agency identification code (LEAID).

Variable     Field	Record	     Data
 name	     length	position     type	Description

LEAID 		7	001-007		A	UNIQUE AGENCY ID (NCES ASSIGNED)
  +FIPS		2	001-002		A	FIPS STATE CODE FOR LOCATION OF AGENCY
STID97		14	008-021		A	STATE AGENCY ID
NAME97		30	022-051		A	NAME OF LOCAL EDUCATION AGENCY
STREET97	30	052-081		A	MAILING ADDRESS
CITY97		18	082-099		A	CITY NAME (MAILING ADDRESS)
ST97 		2	100-101		A	USPS STATE ABBREVIATION
ZIP97		5	102-106		A	5-DIGIT ZIP CODE
ZIP497		4	107-110		A	ZIP+4 IF ASSIGNED
PHONE97		10	111-120		A	TELEPHONE NUMBER OF AGENCY
TYPE97		1	121-121		A	TYPE OF AGENCY CODE
UNION97 	3	122-124		A	SUPERVISORY UNION NUMBER
CONUM97		5	125-129		A	FIPS COUNTY NUMBER (FIPS+COUNTY)
CONAME97	25	130-154		A	COUNTY NAME
CMSA97    	6	155-160		A	CMSA/PMSA/MSA CODE
MSC97		1	161-161		A	METRO STATUS CODE
BOUND97		1	162-162		A	BOUNDARY CHANGE INDICATOR FLAG
GRSPAN97	4	163-166		A	GRADE SPAN OF AGENCY (SCHOOL UNIV)
  +GSLO97	2	163-164		A	LOW GRADE SPAN (SCHOOL UNIV)
  +GSHI97	2	165-166		A	HIGH GRADE SPAN (SCHOOL UNIV)
SCH97		5	167-171		N	NUMBER OF SCHOOLS (SCHOOL UNIV)
TEACH97		7*	172-178		N	TOTAL CLASSROOM TEACHERS (SCHOOL UNIV)
UNG97  		6	179-184		N	COUNT OF UNGRADED STUDENTS
PK1297		6	185-190		N	COUNT OF PK THRU 12 STUDENTS
MEMBER97	7	191-197		N	TOTAL STUDENTS
SPECED97	6	198-203		N	COUNT OF SPECIAL ED IEP STUDENTS
REGDIP97	6	204-209		N	COUNT OF REGULAR DIPLOMA GRADUATES
OTHDIP97 	6	210-215		N	COUNT OF OTHER DIPLOMA GRADUATES
OTHCOM97	6	216-221		N	COUNT OF OTHER HS COMPLETERS
DAM7M97		5	222-226		N	DROPOUTS (AMER IND/ALAS NAT-7TH-MALE)
DAM7F97		5	227-231		N	DROPOUTS (AMER IND/ALAS NAT-7TH-FEMALE)
DAM7U97		5	232-236		N	DROPOUTS (AMER IND/ALAS NAT-7TH-UNKNOWN)
DAS7M97		5	237-241		N	DROPOUTS (ASIAN/PAC ISL-7TH-MALE)
DAS7F97		5	242-246		N	DROPOUTS (ASIAN/PAC ISL-7TH-FEMALE)
DAS7U97		5	247-251		N	DROPOUTS (ASIAN/PAC ISL-7TH-UNKNOWN)
DHI7M97		5	252-256		N	DROPOUTS (HISPANIC-7TH-MALE)
DHI7F97		5	257-261		N	DROPOUTS (HISPANIC-7TH-FEMALE)
DHI7U97		5	262-266		N	DROPOUTS (HISPANIC-7TH-UNKNOWN)
DBL7M97		5	267-271		N	DROPOUTS (BLACK-7TH-MALE)
DBL7F97		5	272-276		N	DROPOUTS (BLACK-7TH-FEMALE)
DBL7U97		5	277-281		N	DROPOUTS (BLACK-7TH-UNKNOWN)
DWH7M97		5	282-286		N	DROPOUTS (WHITE-7TH-MALE)
DWH7F97		5	287-291		N	DROPOUTS (WHITE-7TH-FEMALE)
DWH7U97		5	292-296		N	DROPOUTS (WHITE-7TH-UNKNOWN)
DUK7M97		5	297-301		N	DROPOUTS (UNKNOWN-7TH-MALE)
DUK7F97		5	302-306		N	DROPOUTS (UNKNOWN-7TH-FEMALE)
DUK7U97		5	307-311		N	DROPOUTS (UNKNOWN-7TH-UNKNOWN)
DAM8M97		5	312-316		N	DROPOUTS (AMER IND/ALAS NAT-8TH-MALE)
DAM8F97		5	317-321		N	DROPOUTS (AMER IND/ALAS NAT-8TH-FEMALE)
DAM8U97		5	322-326		N	DROPOUTS (AMER IND/ALAS NAT-8TH-UNKNOWN)
DAS8M97		5	327-331		N	DROPOUTS (ASIAN/PAC ISL-8TH-MALE)
DAS8F97		5	332-336		N	DROPOUTS (ASIAN/PAC ISL-8TH-FEMALE)
DAS8U97		5	337-341		N	DROPOUTS (ASIAN/PAC ISL-8TH-UNKNOWN)
DHI8M97		5	342-346		N	DROPOUTS (HISPANIC-8TH-MALE)
DHI8F97		5	347-351		N	DROPOUTS (HISPANIC-8TH-FEMALE)
DHI8U97		5	352-356		N	DROPOUTS (HISPANIC-8TH-UNKNOWN)
DBL8M97		5	357-361		N	DROPOUTS (BLACK-8TH-MALE)
DBL8F97		5	362-366		N	DROPOUTS (BLACK-8TH-FEMALE)
DBL8U97		5	367-371		N	DROPOUTS (BLACK-8TH-UNKNOWN)
DWH8M97		5	372-376		N	DROPOUTS (WHITE-8TH-MALE)
DWH8F97		5	377-381		N	DROPOUTS (WHITE-8TH-FEMALE)
DWH8U97		5	382-386		N	DROPOUTS (WHITE-8TH-UNKNOWN)
DUK8M97		5	387-391		N	DROPOUTS (UNKNOWN-8TH-MALE)
DUK8F97		5	392-396		N	DROPOUTS (UNKNOWN-8TH-FEMALE)
DUK8U97		5	397-401		N	DROPOUTS (UNKNOWN-8TH-UNKNOWN)
DAM9M97		5	402-406		N	DROPOUTS (AMER IND/ALAS NAT-9TH-MALE)
DAM9F97		5	407-411		N	DROPOUTS (AMER IND/ALAS NAT-9TH-FEMALE)
DAM9U97		5	412-416		N	DROPOUTS (AMER IND/ALAS NAT-9TH-UNKNOWN)
DAS9M97		5	417-421		N	DROPOUTS (ASIAN/PAC ISL-9TH-MALE)
DAS9F97		5	422-426		N	DROPOUTS (ASIAN/PAC ISL-9TH-FEMALE)
DAS9U97		5	427-431		N	DROPOUTS (ASIAN/PAC ISL-9TH-UNKNOWN)
DHI9M97		5	432-436		N	DROPOUTS (HISPANIC-9TH-MALE)
DHI9F97		5	437-441		N	DROPOUTS (HISPANIC-9TH-FEMALE)
DHI9U97		5	442-446		N	DROPOUTS (HISPANIC-9TH-UNKNOWN)
DBL9M97		5	447-451		N	DROPOUTS (BLACK-9TH-MALE)
DBL9F97		5	452-456		N	DROPOUTS (BLACK-9TH-FEMALE)
DBL9U97		5	457-461		N	DROPOUTS (BLACK-9TH-UNKNOWN)
DWH9M97		5	462-466		N	DROPOUTS (WHITE-9TH-MALE)
DWH9F97		5	467-471		N	DROPOUTS (WHITE-9TH-FEMALE)
